complex,address,lat,long
The Cottages at Daytona Beach,"1850 N Williamson Blvd, Daytona Beach, FL 32114",29.19761,-81.08571
The Edison,"100 Alva Cir, Daytona Beach, FL 32117",29.22454,-81.08761
Legacy at Crystal Lake,"1200 Floral Springs Blvd, Port Orange, FL 32129",29.15261,-81.03158
The Bungalows of Port Orange,"1025 Eagle Lake Trl, Port Orange, FL 32129",29.1291,-81.00945
Bermuda Estates,"100 Hamilton Cir, Ormond Beach, FL 32174",29.26041,-81.11338
Enclave at 3230,"3230 S Ridgewood Ave, South Daytona, FL 32119",29.15149623,-80.99207197
The Atlantic,"1401 Reed Canal Rd, Port Orange, FL 32129",29.15005755,-81.03195683
Clyde Morris Landings,"1381 N Clyde Morris Blvd, Daytona Beach, FL 32117",29.22294758,-81.08357189
Eden Crystal Lake,"1270 Reed Canal Rd, Port Orange, FL 32129",29.1507297,-81.02613028
Pointe Grand Daytona,"450 Jimmy Ann Dr, Daytona Beach, FL 32114",29.19676236,-81.06248397
Allure on Enterprise,"2841 Enterprise Rd, DeBary, FL 32713",28.90134672,-81.28616396
Ormond Grande Townhomes,"110 Ormond Grande Blvd, Ormond Beach, FL 32174",29.32091084,-81.1085999
Integra Myst,"1000 Integra Myst Blvd, Deltona, FL 32725",28.94633439,-81.24897556
Sanctuary at Daytona,"1600 LPGA Blvd, Daytona Beach, FL 32117",29.23280712,-81.0767401
The Southerly at Orange City,"1211 Southerly Parc Ln, Orange City, FL 32763",28.92389566,-81.28347165
Sailpoint Bay Apartments,"1025 S Beach St, Daytona Beach, FL 32114",29.19426376,-81.0093573
Hawthorne Village,"3900 Yorktowne Blvd, Port Orange, FL 32129",29.11848811,-81.02876413
The Anatole,"1690 Dunn Ave, Daytona Beach, FL 32114",29.20446065,-81.06396077
Icon One Daytona,"1820 Legends Ln, Daytona Beach, FL 32114",29.19653732,-81.07079945
Drift,"100 Navigator Dr, Daytona Beach, FL 32117",29.24750833,-81.10509707
Ocean Oaks,"1645 Dunlawton Ave, Port Orange, FL 32127",29.11847832,-81.02530156
Oaks Of Lakebridge Community,"420 Lakebridge Plaza Dr, Ormond Beach, FL 32174",29.28566047,-81.08201392
Park at Countryside,"958 Village Trl, Port Orange, FL 32127",29.12244166,-81.0132084
Marina Grande North,"261 Riverside Dr, Daytona Beach, FL 32117",29.23390837,-81.02781507
Marina Vista,"705 S Beach St, Daytona Beach, FL 32114",29.2002059,-81.01283102
Lymestone Ranch,"10101 Lyme Stone Ct, New Smyrna Beach, FL 32168",29.00910626,-80.96809611
The Harbor,"601 Bill France Blvd, Daytona Beach, FL 32114",29.20492461,-81.07003222
Indigo Plantation Apartments,"100 Powell Blvd, Daytona Beach, FL 32114",29.19751693,-81.08724717
Champions Quarters,"1017 Wicker Way, Daytona Beach, FL 32117",29.21680187,-81.06523387
Riverbreeze Apartments,"2110-2140 S Palmetto Ave, Daytona Beach, FL 32119",29.17277897,-81.00083613
The Oasis Apartments,"1250 Woodcrest Dr, Daytona Beach, FL 32114",29.17091914,-81.04284973
Lakeside Gardens,"1400 Hancock Blvd, Daytona Beach, FL 32114",29.17363526,-81.041588
Beacon at Woodland Village,"200 Summer Shade Rd, Deland, FL 32724",29.064886,-81.30193764
Integra 289 Exchange,"115 Integra Reserve Ln, Debary, FL 32713",28.85967483,-81.31920436
Fisherman's Landing,"1088 W Granada Blvd, Ormond Beach, FL 32174",29.27189892,-81.09449271
Grandeville on Saxon,"741 Saxon Blvd, Orange City, FL 32763",28.91467589,-81.29762459
Indigo Pines,"100 Bent Tree Dr, Daytona Beach, FL 32114",29.20700511,-81.08626645
500 East,"1851 LPGA Blvd, Daytona Beach, FL 32117",29.22817952,-81.07887168
Madison Pointe,"1310 Tomoka Town Center Dr, Daytona Beach, FL 32117",29.21759044,-81.09315362
The Groves,"3780 S Clyde Morris Blvd, Port Orange, FL 32129",29.14359747,-81.03730643
10X Integra Shores,"100 Integra Shores Dr, Daytona Beach, FL 32117",29.23872295,-81.0885954
Springs At Port Orange,"5410 S Williamson Blvd, Port Orange, FL 32128",29.10873188,-81.0372206
Enclave at 3230,"3230 S Ridgewood Ave, South Daytona, FL 32119",29.15116835,-80.99312943
10X Ormond Beach,"600 Crowne Commerce Ct, Ormond Beach, FL 32174",29.2473346,-81.1072056
