address,lat,long
"220 Homewood Ave #11J, Debary, FL 32713",28.91561,-81.30035
"2227 Tropical Ter, Deland, FL 32724",29.03823,-81.25944
"1656 Brittain Ave, Deland, FL 32720",29.02119,-81.33509
"2617 Glenwood Ave, New Smyrna Beach, FL 32168",29.06405,-80.95228
"112 Fran Dr, New Smyrna Beach, FL 32168",29.01435,-80.94914
"530 S Dexter Ave, Deland, FL 32720",29.01963819,-81.32325545
"31 Ponce De Leon Dr, Ormond Beach, FL 32176",29.27179378,-81.03755449
"680 Landshark Blvd, Daytona Beach, FL 32124",29.22355065,-81.11640851
"8 Arika At Lionspaw, Daytona Beach, FL 32124",29.2037392,-81.10506298
"1030 Hampstead Ln, Ormond Beach, FL 32174",29.37793596,-81.15055461
"158 Island Breeze Ave, Daytona Beach, FL 32124",29.21549163,-81.12635197
"6965 S Atlantic Ave, New Smyrna Beach, FL 32169",28.94344058,-80.83388587
"622 Clark St, Daytona Beach, FL 32114",29.20001838,-81.01942581
"31 Narcissus Dr, Debary, FL 32713",28.89194285,-81.31217624
"3498 Country Walk Dr, Port Orange, FL 32129",29.1483934,-81.00648744
"2655 Flowing Well Rd, Deland, FL 32720",28.9993366,-81.35635514
"955 Grayling Ct APT B, Port Orange, FL 32127",29.11919009,-81.00987229
"160 Niver St, Pt Orange, FL 32127",29.1217218,-80.97948762
"287 N Yonge St, Ormond Beach, FL 32174",29.29051436,-81.06569832
"1470 Wyngate Dr, Deland, FL 32724",28.98930602,-81.27511158
"2110 Sabal Palm Dr, Edgewater, FL 32141",28.96070158,-80.90999417
"415 Braddock Ave, Daytona Beach, FL 32118",29.21889838,-81.00767438
"560 Josie St, New Smyrna Beach, FL 32168",29.02935131,-80.93128264
"116 Treasure Ln, Ormond Beach, FL 32176",29.29678701,-81.04731466
"134 Pergola Pl, Ormond Beach, FL 32174",29.27818217,-81.1467854
"820 E 10th Ave, New Smyrna Beach, FL 32169",29.02298659,-80.89022189
"1419 Farmington Ave, Deltona, FL 32725",28.90359272,-81.24263287
"134 Young St, Pt Orange, FL 32127",29.1283844,-80.98526197
"165 E Elm Dr, Orange City, FL 32763",28.93081426,-81.29548414
"6164 Sequoia Dr, Port Orange, FL 32127",29.08449103,-80.98874622
"420 S Beach St, Ormond Beach, FL 32174",29.27566433,-81.05040916
"136 Taylor Ave, Daytona Beach, FL 32114",29.22270581,-81.02567974
"909 W 9th St, Deltona, FL 32725",28.88744216,-81.25683087
"616 Mosaic Blvd, Daytona Beach, FL 32124",29.19064251,-81.12798892
"14 Pineview Lake Cir, Ormond Beach, FL 32174",29.25728364,-81.09753966
"350 W Elm Dr, Orange City, FL 32763",28.92993728,-81.30629737
"360 Elm Dr, Orange City, FL 32763",28.92996435,-81.306232
"210 Timberline Trl, Ormond Beach, FL 32174",29.28288763,-81.09064837
"513 Geneva Ave, Deltona, FL 32725",28.87782688,-81.25094184
"829 Adler Dr, Deltona, FL 32738",28.88554827,-81.2103776
"2609 Royal Palm Dr, Edgewater, FL 32141",28.95221744,-80.90479786
"2549 Crestwood Ave, New Smyrna Beach, FL 32168",29.05989948,-80.95827659
"220 Homewood Ave #11J, Debary, FL 32713",28.91532017,-81.29998039
"1656 Brittain Ave, Deland, FL 32720",29.02150714,-81.33487046
"530 S Dexter Ave, Deland, FL 32720",29.01961476,-81.32324472
"680 Landshark Blvd, Daytona Beach, FL 32124",29.22331826,-81.11635384
"280 S Old Kings Rd, Ormond Beach, FL 32174",29.27255779,-81.07709333
"158 Island Breeze Ave, Daytona Beach, FL 32124",29.21550099,-81.12644853
"920 Brookridge Ln, Ormond Beach, FL 32174",29.38664244,-81.14859443
"448 Pelican Bay Dr, Daytona Beach, FL 32119",29.15900965,-81.04691387
"150 Wall St, Pt Orange, FL 32127",29.129061,-80.985736
"288 Stone Island Rd, Enterprise, FL 32725",28.85393932,-81.22699102
"1018 Claudia St, New Smyrna Beach, FL 32168",29.0371701,-80.93785382
"362 Sugar Pine Ln, Ormond Beach, FL 32174",29.22083722,-81.23386587
"395 S Dexter Ave, Deland, FL 32720",29.02321482,-81.32230984
"1293 Valley Forge Dr, Daytona Beach, FL 32119",29.16484934,-81.03444903
"1256 Williamsburg Pl, Daytona Beach, FL 32119",29.16581684,-81.03155466
"12 Charleston Sq, Ormond Beach, FL 32174",29.26510841,-81.05995197
"513 Thyme Way, Deland, FL 32724",29.02010181,-81.27068154
"404 S Beach St APT 103, Daytona Beach, FL 32114",29.20605618,-81.01724716
"68 Sounders Trail Cir, Ormond Beach, FL 32174",29.26875656,-81.13160874
"633 Whippoorwill Ter, Deltona, FL 32725",28.89713585,-81.26160547
"812 Aldenham Ln, Ormond Beach, FL 32174",29.3559756,-81.13659194
